BOOK	CHAP	VERSE	WORD
41	1	1	Ἀρχὴ
41	1	1	τοῦ
41	1	1	εὐαγγελίου
41	1	1	Ἰησοῦ
41	1	1	Χριστοῦ
41	1	1	Υἱοῦ
41	1	1	Θεοῦ.
41	1	2	¬Καθὼς
41	1	2	γέγραπται
41	1	2	ἐν
41	1	2	τῷ
41	1	2	Ἠσαΐᾳ
41	1	2	τῷ
41	1	2	προφήτῃ·
41	1	2	¬Ἰδοὺ
41	1	2	ἀποστέλλω
41	1	2	τὸν
41	1	2	ἄγγελόν
41	1	2	μου
41	1	2	πρὸ
41	1	2	προσώπου
41	1	2	σου,
41	1	2	¬ὃς
41	1	2	κατασκευάσει
41	1	2	τὴν
41	1	2	ὁδόν
41	1	2	σου·
41	1	3	¬Φωνὴ
41	1	3	βοῶντος
41	1	3	ἐν
41	1	3	τῇ
41	1	3	ἐρήμῳ·
41	1	3	¬Ἑτοιμάσατε
41	1	3	τὴν
41	1	3	ὁδὸν
41	1	3	Κυρίου,
41	1	3	¬εὐθείας
41	1	3	ποιεῖτε
41	1	3	τὰς
41	1	3	τρίβους
41	1	3	αὐτοῦ,¶
41	1	4	Ἐγένετο
41	1	4	Ἰωάννης
41	1	4	ὁ
41	1	4	βαπτίζων
41	1	4	ἐν
41	1	4	τῇ
41	1	4	ἐρήμῳ
41	1	4	καὶ
41	1	4	κηρύσσων
41	1	4	βάπτισμα
41	1	4	μετανοίας
41	1	4	εἰς
41	1	4	ἄφεσιν
41	1	4	ἁμαρτιῶν.
41	1	5	καὶ
41	1	5	ἐξεπορεύετο
41	1	5	πρὸς
41	1	5	αὐτὸν
41	1	5	πᾶσα
41	1	5	ἡ
41	1	5	Ἰουδαία
41	1	5	χώρα
41	1	5	καὶ
41	1	5	οἱ
41	1	5	Ἱεροσολυμῖται
41	1	5	πάντες,
41	1	5	καὶ
41	1	5	ἐβαπτίζοντο
41	1	5	ὑπ᾽
41	1	5	αὐτοῦ
41	1	5	ἐν
41	1	5	τῷ
41	1	5	Ἰορδάνῃ
41	1	5	ποταμῷ
41	1	5	ἐξομολογούμενοι
41	1	5	τὰς
41	1	5	ἁμαρτίας
41	1	5	αὐτῶν.
41	1	6	Καὶ
